Column-0,#,Name,Price,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Column-10
,1,"Bitcoin

BTC

Buy","$33,743.43",2.44%,0.61%,"$632,451,297,992","$38,845,322,064

1,151,361 BTC","18,745,631 BTC",,
,2,"Ethereum

ETH

Buy","$2,135.35",0.36%,8.59%,"$248,900,063,717","$30,770,245,688

14,404,141 ETH","116,514,883 ETH",,
,3,"Tether

USDT

Buy",$1.00,0.03%,0.05%,"$62,400,182,494","$59,710,497,283

59,689,484,123 USDT","62,378,222,787 USDT",,
,4,"Binance Coin

BNB

Buy",$290.76,0.83%,4.56%,"$44,570,892,733","$1,679,598,864

5,781,929 BNB","153,432,897 BNB",,
,5,"Cardano

ADA",$1.34,2.09%,0.25%,"$42,971,894,423","$2,362,900,624

1,756,636,518 ADA","31,946,328,269 ADA",,
,6,"Dogecoin

DOGE

Buy",$0.2529,3.25%,6.04%,"$32,960,496,038","$2,779,126,298

10,982,370,264 DOGE","130,251,141,098 DOGE",,
,7,"XRP

XRP",$0.6675,0.70%,2.54%,"$30,806,063,302","$2,807,490,697

4,205,570,468 XRP","46,146,927,647 XRP",,
,8,"USD Coin

USDC",$1.00,0.04%,0.02%,"$25,160,584,697","$2,302,161,083

2,301,305,201 USDC","25,151,230,666 USDC",,
,9,"Polkadot

DOT

Buy",$15.57,1.75%,2.72%,"$14,890,930,313","$1,011,975,173

65,000,842 DOT","956,469,129 DOT",,
,10,"Uniswap

UNI",$18.35,3.34%,5.72%,"$10,557,015,380","$395,272,822

21,538,207 UNI","575,246,188 UNI",,
,11,"Binance USD

BUSD",$1.00,0.03%,0.00%,"$10,064,092,718","$4,329,775,253

4,328,858,375 BUSD","10,061,961,535 BUSD",,
,12,"Bitcoin Cash

BCH

Buy",$496.27,2.21%,1.70%,"$9,319,103,675","$1,651,328,513

3,327,472 BCH","18,778,250 BCH",,
,13,"Solana

SOL",$33.95,4.84%,12.54%,"$9,256,621,966","$579,336,455

17,063,331 SOL","272,637,428 SOL",,
,14,"Litecoin

LTC",$137.20,1.52%,2.92%,"$9,158,208,482","$1,767,556,336

12,883,377 LTC","66,752,415 LTC",,
,15,"Chainlink

LINK",$18.18,2.42%,3.23%,"$7,917,642,939","$868,190,856

47,754,795 LINK","435,509,554 LINK",,
,16,"Polygon

MATIC",$1.10,1.19%,7.39%,"$6,957,116,495","$722,831,447

654,913,841 MATIC","6,303,422,325 MATIC",,
,17,"Wrapped Bitcoin

WBTC","$33,751.88",2.63%,0.26%,"$6,594,299,116","$224,933,654

6,664 WBTC","195,376 WBTC",,
,18,"Internet Computer

ICP",$47.83,3.58%,34.49%,"$6,465,651,884","$550,052,138

11,499,621 ICP","135,173,634 ICP",,
,19,"THETA

THETA",$6.46,3.26%,6.91%,"$6,455,336,007","$239,397,093

37,085,148 THETA","1,000,000,000 THETA",,
,,Ethereum ClassicETC,$54.67,,,,,,,
